,ME1,ME2,ME3,ME4,ME5,ME6,ME7
TCGA-69-7760-01A,-10.519497021564176,-7.159311238333608,-0.5275505674971287,-1.375351971571642,-3.748881932886774,-34.69507236011022,-18.90798680711994
TCGA-MP-A4SY-01A,-4.422949998653493,-3.521568205128031,5.522871602594866,5.3139188593114515,5.08702103975175,-6.600003499435569,-7.473466390208311
TCGA-L9-A7SV-01A,-5.242363127847584,-3.8060367944939255,9.631394318200933,9.062810461605178,-8.173791642039536,-22.462729546218892,-17.430007826757475
TCGA-67-3772-01A,9.114079156462598,0.32592285005299676,-8.784087167517406,-10.919664947008666,2.8035061760779665,-2.347047540147838,7.775765342969451
TCGA-NJ-A4YQ-01A,11.975763226895976,9.84990648297319,4.943043203311079,4.997768740493519,-5.5325551006356015,14.053459503293707,-15.117876284662954
TCGA-44-4112-01A,2.026644609733886,-2.5439592775544315,-0.531608200091871,2.464712905268015,3.227570873714323,-11.522313972411736,-9.001850290919798
TCGA-95-A4VP-01A,0.26653589174644055,3.1829124488414395,5.277702094094166,5.05756217747786,2.1700473018573825,-3.386930036916876,6.45584157506311
TCGA-75-5126-01A,-6.46035839693935,-0.4098191054590227,-6.878561547492241,-7.713831327507202,-1.00332979836299,21.251478556734334,-0.9102604052753112
TCGA-55-8208-01A,15.033869512606765,9.370287941465904,0.2368837290045325,1.3512611219620456,5.064537618420438,26.290952769579857,-0.1718359041840529
TCGA-55-7914-01A,11.483367515709439,3.7205595739246933,0.12656215638988105,0.03944803072317138,-0.7758971611152158,-5.580072595176035,-6.470330343290516
TCGA-44-6776-01A,-6.229795287594122,-6.372489081262688,-3.0266747015874773,-3.1819014659888323,-5.95964792940918,-28.877907520862205,13.119315771677526
TCGA-49-AARE-01A,1.7490405963460565,0.8462118220519413,6.467040452283906,3.743852824478125,-1.5008506095126188,-15.124583438618581,-22.751205771056465
TCGA-44-2668-01A,0.3381521084332973,1.9180392843820497,-4.275802761858919,-6.27709971309476,5.112729396525657,13.6477212587326,-22.437969399594643
TCGA-44-2662-01A,-0.055578216192870865,0.029823429704734967,0.41436404842255786,-1.134391678583841,2.3268180186404788,10.954061585331953,-25.336491752525387
TCGA-95-7948-01A,-0.45248435874006254,-4.94112454415898,1.648503985494944,2.220003258112133,-5.0045059355773525,-21.831532409099097,-7.514628042514536
